,ID,date,lesson_num,city,parity
12,3320.0,2024-09-11 00:00:00,2,Уфа,even
13,3332.0,2024-09-11 00:00:00,2,Уфа,even
14,3334.0,2024-09-11 00:00:00,2,Уфа,even
15,3336.0,2024-09-11 00:00:00,2,Уфа,even
21,3264.0,2024-09-12 00:00:00,2,Уфа,even
22,3266.0,2024-09-12 00:00:00,2,Уфа,even
23,3286.0,2024-09-12 00:00:00,2,Уфа,even
24,3338.0,2024-09-12 00:00:00,2,Уфа,even
25,3340.0,2024-09-12 00:00:00,2,Уфа,even
29,3312.0,2024-09-13 00:00:00,2,Уфа,even
30,3314.0,2024-09-13 00:00:00,2,Уфа,even
31,3346.0,2024-09-13 00:00:00,2,Уфа,even
32,3922.0,2024-09-13 00:00:00,2,Уфа,even
33,3246.0,2024-09-13 00:00:00,2,Уфа,even
37,3308.0,2024-09-14 00:00:00,2,Уфа,even
41,3298.0,2024-09-15 00:00:00,2,Уфа,even
42,3292.0,2024-09-15 00:00:00,2,Уфа,even
43,3352.0,2024-09-15 00:00:00,2,Уфа,even
55,3268.0,2024-09-16 00:00:00,2,Уфа,even
56,3272.0,2024-09-16 00:00:00,2,Уфа,even
57,3302.0,2024-09-16 00:00:00,2,Уфа,even
58,3256.0,2024-09-16 00:00:00,2,Уфа,even
65,3252.0,2024-09-17 00:00:00,2,Уфа,even
66,3278.0,2024-09-17 00:00:00,2,Уфа,even
67,3248.0,2024-09-17 00:00:00,2,Уфа,even
68,3250.0,2024-09-17 00:00:00,2,Уфа,even
69,3320.0,2024-09-18 00:00:00,4,Уфа,even
70,3332.0,2024-09-18 00:00:00,4,Уфа,even
71,3334.0,2024-09-18 00:00:00,4,Уфа,even
72,3336.0,2024-09-18 00:00:00,4,Уфа,even
78,3326.0,2024-09-18 00:00:00,2,Уфа,even
79,3328.0,2024-09-18 00:00:00,2,Уфа,even
80,3264.0,2024-09-19 00:00:00,4,Уфа,even
81,3266.0,2024-09-19 00:00:00,4,Уфа,even
82,3286.0,2024-09-19 00:00:00,4,Уфа,even
83,3338.0,2024-09-19 00:00:00,4,Уфа,even
84,3340.0,2024-09-19 00:00:00,4,Уфа,even
88,3288.0,2024-09-19 00:00:00,2,Уфа,even
89,3350.0,2024-09-19 00:00:00,2,Уфа,even
90,3312.0,2024-09-20 00:00:00,4,Уфа,even
91,3314.0,2024-09-20 00:00:00,4,Уфа,even
92,3346.0,2024-09-20 00:00:00,4,Уфа,even
93,3922.0,2024-09-20 00:00:00,4,Уфа,even
94,3246.0,2024-09-20 00:00:00,4,Уфа,even
98,3280.0,2024-09-20 00:00:00,2,Уфа,even
99,3308.0,2024-09-21 00:00:00,4,Уфа,even
103,3298.0,2024-09-22 00:00:00,4,Уфа,even
104,3292.0,2024-09-22 00:00:00,4,Уфа,even
105,3352.0,2024-09-22 00:00:00,4,Уфа,even
117,3268.0,2024-09-23 00:00:00,4,Уфа,even
118,3272.0,2024-09-23 00:00:00,4,Уфа,even
119,3302.0,2024-09-23 00:00:00,4,Уфа,even
120,3256.0,2024-09-23 00:00:00,4,Уфа,even
127,3252.0,2024-09-24 00:00:00,4,Уфа,even
128,3278.0,2024-09-24 00:00:00,4,Уфа,even
129,3248.0,2024-09-24 00:00:00,4,Уфа,even
130,3250.0,2024-09-24 00:00:00,4,Уфа,even
131,3320.0,2024-09-25 00:00:00,6,Уфа,even
132,3332.0,2024-09-25 00:00:00,6,Уфа,even
133,3334.0,2024-09-25 00:00:00,6,Уфа,even
134,3336.0,2024-09-25 00:00:00,6,Уфа,even
141,3326.0,2024-09-25 00:00:00,4,Уфа,even
142,3328.0,2024-09-25 00:00:00,4,Уфа,even
144,3264.0,2024-09-26 00:00:00,6,Уфа,even
145,3266.0,2024-09-26 00:00:00,6,Уфа,even
146,3286.0,2024-09-26 00:00:00,6,Уфа,even
147,3338.0,2024-09-26 00:00:00,6,Уфа,even
148,3340.0,2024-09-26 00:00:00,6,Уфа,even
152,3288.0,2024-09-26 00:00:00,4,Уфа,even
153,3350.0,2024-09-26 00:00:00,4,Уфа,even
154,3312.0,2024-09-27 00:00:00,6,Уфа,even
155,3314.0,2024-09-27 00:00:00,6,Уфа,even
156,3346.0,2024-09-27 00:00:00,6,Уфа,even
